company_name,industry,annual_revenue_usd,employee_count,founder,country,year_founded,website
Hilton Hotels,Hospitality,8900000000,173000Conrad Hilton,United States,1919,https://www.hilton.com
Uber Freight,Logistics,7000000000,4500,Uber division,United States,2017,https://www.uberfreight.com
Intuitive Surgical,Medical Devices,7100000000,13100,Fred Moll; others,United States,1995,https://www.intuitive.com
Medtronic USA division,Medical Devices,31500000000,95000,Earl Bakken (US founder),United States,1949,https://www.medtronic.com
Amgen,Biotech,26600000000,26000,George Rathmann,United States,1980,https://www.amgen.com
Gilead Sciences,Biotech,27000000000,17000,Michael Riordan,United States,1987,https://www.gilead.com
Biogen,Biotech,11300000000,9200,Walter Gilbert; others,United States,1978,https://www.biogen.com
Regeneron,Biotech,12600000000,13000,Leonard Schleifer; George Yancopoulos,United States,1988,https://www.regeneron.com
Charles Schwab,Financial Services,20200000000,35000,Charles R. Schwab,United States,1971,https://www.schwab.com
Robinhood,Fintech,1900000000,2800,Vlad Tenev; Baiju Bhatt,United States,2013,https://www.robinhood.com
Zoom Video,Technology,4200000000,9500,Eric Yuan,United States,2011,https://www.zoom.us
Slack (Salesforce),Technology,900000000,2000,Stewart Butterfield,United States,2009,https://slack.com
GitHub (Microsoft),Technology,1000000000,3000,Chris Wanstrath; others,United States,2008,https://github.com
Twilio,Technology,4200000000,7900,Jeff Lawson,United States,2008,https://www.twilio.com
HubSpot,Technology,2100000000,7800,Brian Halligan; Dharmesh Shah,United States,2006,https://www.hubspot.com
Etsy,E-commerce,2600000000,2800,Rob Kalin; others,United States,2005,https://www.etsy.com
eBay,E-commerce,10500000000,11800,Pierre Omidyar,United States,1995,https://www.ebay.com
